city,name,po1,po2,po3,po4,po5,po6,po7,po8,po9,po10,dd1,dd2,dd3,dd4,dd5,dd6,dd7,dd8,dd9,dd10,hd1,hd2,hd3,hd4,hd5,hd6,hd7,hd8,hd9,hd10
tokyo,"2-3-2 Kojimachi, Chiyoda-ku Tokyo 102-0083",Unavailable,Unavailable,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,Unavailable,Unavailable,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,Contactus,Contactus,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
tokyo,"Ginza Six 13F, 6-10-1 Ginza Chuo-ku Tokyo 104-0061",Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,n/a,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,n/a,"¥91,000/mo","¥182,000/mo","¥273,000/mo","¥364,000/mo","¥455,000/mo","¥546,000/mo","¥637,000/mo","¥728,000/mo","¥819,000/mo",n/a
tokyo,"Ark Hills South Tower 16F, 1-4-5 Roppongi Minato-ku Tokyo 106-0032",Unavailable,Unavailable,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,Contactus,Contactus,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,"¥76,000/mo",Unavailable,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
tokyo,2-11-15 Kanda Jimbocho Chiyoda-ku Tokyo,Unavailable,Contactus,Contactus,Contactus,n/a,n/a,n/a,n/a,n/a,n/a,Contactus,Unavailable,Unavailable,Unavailable,n/a,n/a,n/a,n/a,n/a,n/a,"¥67,000/mo",Unavailable,Unavailable,Unavailable,n/a,n/a,n/a,n/a,n/a,n/a
tokyo,6-12-18 Jingumae Shibuya-ku Tokyo 150-0001,Unavailable,Unavailable,Unavailable,Unavailable,Contactus,Contactus,Contactus,Contactus,Unavailable,Unavailable,Contactus,Contactus,Contactus,Contactus,Contactus,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,"¥74,000/mo","¥148,000/mo","¥222,000/mo","¥296,000/mo","¥370,000/mo","¥444,000/mo","¥518,000/mo","¥592,000/mo","¥666,000/mo","¥740,000/mo"
tokyo,"1-24-3, Minami Aoyama Minato-ku Tokyo 107-0062",Unavailable,Unavailable,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,Contactus,Unavailable,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,"¥63,000/mo","¥126,000/mo",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
tokyo,"1 Chome 11-1 Nishiikebukuro, Toshima-ku Tokyo 171-0021",Contactus,Contactus,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,Unavailable,Unavailable,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,"¥63,000/mo",Unavailable,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
tokyo,21F 4 Chome 3-1 Toranomon Minato-ku Tokyo 105-6021,Contactus,Contactus,Unavailable,Unavailable,Contactus,Contactus,Contactus,Contactus,n/a,n/a,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,n/a,n/a,"¥70,000/mo","¥140,000/mo","¥210,000/mo","¥280,000/mo","¥350,000/mo","¥420,000/mo","¥490,000/mo",Unavailable,n/a,n/a
tokyo,"Hibiya Park Front 19F, 2-1-6 Uchisaiwaicho Chiyoda-ku Tokyo 100-0011",Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,"¥71,000/mo","¥142,000/mo","¥213,000/mo","¥284,000/mo","¥355,000/mo","¥426,000/mo","¥497,000/mo","¥568,000/mo","¥639,000/mo","¥710,000/mo"
tokyo,1-10-5 Toranomon Minato-ku Tokyo 105-0001,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Contactus,Contactus,Contactus,Contactus,Contactus,Contactus,Contactus,Contactus,Contactus,Contactus,Contactus,"¥75,000/mo","¥150,000/mo","¥225,000/mo","¥300,000/mo","¥375,000/mo","¥450,000/mo","¥525,000/mo","¥600,000/mo","¥675,000/mo","¥750,000/mo"
tokyo,6-19-13 Shimbashi Minato-ku Tokyo 105-0004,Unavailable,Contactus,Contactus,Contactus,Unavailable,Unavailable,Unavailable,n/a,n/a,n/a,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,n/a,n/a,n/a,"¥63,000/mo","¥126,000/mo","¥189,000/mo","¥252,000/mo","¥315,000/mo","¥378,000/mo","¥441,000/mo",n/a,n/a,n/a
tokyo,5F Tokyu Yotsuya Building 6-6 Kojimachi Chiyoda-ku Tokyo 102-0083,Unavailable,Unavailable,Unavailable,Unavailable,n/a,n/a,n/a,n/a,n/a,n/a,Unavailable,Unavailable,Unavailable,Unavailable,n/a,n/a,n/a,n/a,n/a,n/a,"¥65,000/mo","¥130,000/mo","¥195,000/mo","¥260,000/mo",n/a,n/a,n/a,n/a,n/a,n/a
tokyo,"Tokyo Square Garden 14F, 3-1-1 Kyobashi Chuo-ku Tokyo 104-0031",Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,n/a,Contactus,Contactus,Contactus,Contactus,Contactus,Contactus,Contactus,Contactus,Contactus,n/a,"¥80,000/mo",Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,n/a
tokyo,"Marunouchi Kitaguchi Building 9F, 1-6-5 Marunouchi Chiyoda-ku Tokyo 100-0005",Contactus,Contactus,Unavailable,Unavailable,Contactus,Contactus,Contactus,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Contactus,Contactus,Contactus,Contactus,Contactus,Contactus,Contactus,Contactus,Contactus,Contactus
tokyo,"3-10-1 Harumi, Chuo-ku Tokyo 104-0053",Unavailable,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,Unavailable,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,"¥38,000/mo",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
tokyo,"5-22-33, Higashigotanda, Shinagawa-ku Tokyo 141-0022",Unavailable,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,Unavailable,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,"¥56,000/mo",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
tokyo,"1-18-1 Higashi Ikebukuro, Toshima-ku, Tokyo Tokyo 170-0013",Unavailable,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,Unavailable,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,"¥64,000/mo",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
tokyo,2-5-1 Kojimachi Chiyoda-ku Tokyo 102-0083,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
tokyo,2-2-1 Kanda-Nishikicho Chiyoda-ku Tokyo 101-0054,Unavailable,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,Unavailable,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,"¥67,000/mo",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
tokyo,"5-27-5 Sendagaya, Shibuya-ku Sendagaya Tokyo 151-0051",Unavailable,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,Unavailable,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,"¥76,000/mo",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
tokyo,2-24-12 Shibuya Tokyo 150-0002,Unavailable,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,Unavailable,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,"¥83,000/mo",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
tokyo,2-14-6 KitaAoyama Minato-ku Tokyo 107-6601,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
tokyo,"5-3-23 Kojimachi, Chiyoda-ku Tokyo 102-0083",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
osaka,5 Chome-1-60 Namba Chūō-ku Osaka 542-0076,Contactus,Contactus,Contactus,Contactus,Contactus,Contactus,Contactus,Contactus,Unavailable,Unavailable,Contactus,Contactus,Contactus,Contactus,Contactus,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,"¥49,000/mo","¥98,000/mo","¥147,000/mo","¥196,000/mo","¥245,000/mo","¥294,000/mo","¥343,000/mo","¥392,000/mo","¥441,000/mo","¥490,000/mo"
osaka,1-13-22 Sonezakishinchi Kita-ku Osaka 530-0002,Contactus,Contactus,Contactus,Contactus,Contactus,Unavailable,Unavailable,Unavailable,Contactus,Contactus,Contactus,Contactus,Contactus,Contactus,Contactus,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,"¥59,000/mo","¥118,000/mo","¥177,000/mo","¥236,000/mo","¥295,000/mo","¥354,000/mo","¥413,000/mo","¥472,000/mo","¥531,000/mo","¥590,000/mo"
osaka,1-1 Ofukacho Kita Osaka 530-0011,Unavailable,Unavailable,Unavailable,Contactus,Contactus,Contactus,Unavailable,Unavailable,Unavailable,Unavailable,Contactus,Contactus,Contactus,Contactus,Contactus,Contactus,Contactus,Contactus,Contactus,Contactus,"¥72,000/mo","¥144,000/mo","¥216,000/mo","¥288,000/mo","¥360,000/mo","¥432,000/mo","¥504,000/mo","¥576,000/mo","¥648,000/mo","¥720,000/mo"
nagoya,"4-60-12 Hiraikecho, Nakamura-ku Nagoya 453-6111",Unavailable,Unavailable,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,Contactus,Unavailable,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,"¥51,000/mo","¥102,000/mo",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
yokohama,3 Chome−7−1 Yokohama-shi Nishi Ward Minatomirai Yokohama 220-0012,Contactus,Contactus,Contactus,Contactus,Contactus,Contactus,Unavailable,Unavailable,Unavailable,Unavailable,Contactus,Contactus,Contactus,Contactus,Contactus,Contactus,Contactus,Contactus,Contactus,Contactus,"¥45,000/mo","¥90,000/mo","¥135,000/mo","¥180,000/mo","¥225,000/mo","¥270,000/mo","¥315,000/mo","¥360,000/mo","¥405,000/mo","¥450,000/mo"
kobe,"7-1-5 Isogamidori, Chuo-ku, Kobe, Hyogo-ken Kobe 651-0086",Contactus,Contactus,Contactus,Contactus,Contactus,Contactus,Contactus,Contactus,Unavailable,Unavailable,Contactus,Contactus,Contactus,Contactus,Contactus,Contactus,Contactus,Contactus,Contactus,Contactus,Contactus,Contactus,Contactus,Contactus,Contactus,Contactus,Contactus,Contactus,Contactus,Contactus
